#TYPE Selected.Microsoft.WinGet.Client.Engine.PSObjects.PSInstalledCatalogPackage
"Name","Id"
"Xbox Game Bar Plugin","MSIX\Microsoft.XboxGameOverlay_1.54.4001.0_x64__8wekyb3d8bbwe"
"Game Bar","MSIX\Microsoft.XboxGamingOverlay_7.325.11061.0_x64__8wekyb3d8bbwe"
"Xbox Identity Provider","MSIX\Microsoft.XboxIdentityProvider_12.130.16001.0_x64__8wekyb3d8bbwe"
"Game Speech Window","MSIX\Microsoft.XboxSpeechToTextOverlay_1.97.17002.0_x64__8wekyb3d8bbwe"
"Telefoonkoppeling","MSIX\Microsoft.YourPhone_1.25112.36.0_x64__8wekyb3d8bbwe"
"Windows Mediaspeler","MSIX\Microsoft.ZuneMusic_11.2512.10.0_x64__8wekyb3d8bbwe"
"Films en tv","MSIX\Microsoft.ZuneVideo_10.25121.10051.0_x64__8wekyb3d8bbwe"
"Quick Assist","MSIX\MicrosoftCorporationII.QuickAssist_2.0.36.0_x64__8wekyb3d8bbwe"
"Microsoft Teams","Microsoft.Teams.Free"
"Windows Web Experience Pack","MSIX\MicrosoftWindows.Client.WebExperience_526.1202.40.0_x64__cw5n1h2txyewy"
"Host voor apparaatoverschrijdende ervaring","MSIX\MicrosoftWindows.CrossDevice_1.25112.60.0_x64__cw5n1h2txyewy"
"Realtek Audio Control","MSIX\RealtekSemiconductorCorp.RealtekAudioControl_1.36.273.0_x64__dt26b99r8h8gj"
"Local AI Manager for Microsoft 365","MSIX\aimgr_0.20.34.0_x64__8wekyb3d8bbwe"
"Mail en Agenda","MSIX\microsoft.windowscommunicationsapps_16005.14326.22342.0_x64__8wekyb3d8bbwe"
